GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,-log10(padj),ann
PAGE2B,7.38927032283482,-0.302424600939642,0.818929546534501,-0.369292574946678,0.711909659373808,0.865984432936444,M_vs_G,0.0624899148539781,Not significant
GALNT7,618.64034517368,-0.0820014330549553,0.222274673673887,-0.368919372142527,0.712187823414818,0.866257949147944,M_vs_G,0.0623527670926934,Not significant
OBSCN,70.7991233783696,0.110056506197395,0.298556619805694,0.368628591350684,0.712404581346824,0.866343797013263,M_vs_G,0.0623097297884719,Not significant
L1TD1,109.300860301634,-0.419202734013778,1.13724849872491,-0.368611376039443,0.712417414956395,0.866343797013263,M_vs_G,0.0623097297884719,Not significant
INO80C,218.284015347882,-0.105873081010605,0.287222395333101,-0.368610117911665,0.712418352864252,0.866343797013263,M_vs_G,0.0623097297884719,Not significant
PAK1,583.704642100681,-0.10593353293477,0.287479345394172,-0.368490935547114,0.712507202788032,0.866387004273197,M_vs_G,0.0622880707118775,Not significant
CYP7B1,8.30194708218245,-0.388778823715539,1.05575557130698,-0.368247001750838,0.712689066515859,0.866417348463402,M_vs_G,0.0622728603226096,Not significant
TNK2-AS1,5.740223797921,-0.32050835790935,0.870470151100104,-0.368201434023085,0.712723041138438,0.866417348463402,M_vs_G,0.0622728603226096,Not significant
LOC112268371,10.5043343473255,0.254530006110256,0.6912813957356,0.368200283821334,0.712723898719196,0.866417348463402,M_vs_G,0.0622728603226096,Not significant
CUL4B,695.135193902639,0.0823289947332517,0.223672920064648,0.368077613997511,0.712815362393455,0.866417348463402,M_vs_G,0.0622728603226096,Not significant
LOC124900512,34.0442610231809,-0.215257114580494,0.58484377323486,-0.368059171408929,0.712829113703058,0.866417348463402,M_vs_G,0.0622728603226096,Not significant
HRH1,6.40557528378251,0.351992510181446,0.956427669963074,0.368028363498764,0.7128520851503,0.866417348463402,M_vs_G,0.0622728603226096,Not significant
ATG13,794.896231446647,0.0576699119347155,0.156795712364592,0.367802863133257,0.713020233979626,0.866556902164169,M_vs_G,0.0622029142143148,Not significant
SYNDIG1,9.39480884068843,-0.26343482355063,0.716609218953232,-0.367612942428281,0.713161862947821,0.86655822752308,M_vs_G,0.0622022499813948,Not significant
LOC100272217,5.84437917361074,-0.417820228669234,1.136681027767,-0.367579134746392,0.713187075280707,0.86655822752308,M_vs_G,0.0622022499813948,Not significant
DDI2,558.772271392566,-0.0850335381742485,0.231344343944127,-0.367562641578069,0.713199375298667,0.86655822752308,M_vs_G,0.0622022499813948,Not significant
TIFA,305.104775840392,-0.0937926746465201,0.25520750279406,-0.367515349743485,0.713234644279259,0.86655822752308,M_vs_G,0.0622022499813948,Not significant
H2AC15,21.1333410629744,0.182230542862324,0.496410201752536,0.36709669184673,0.713546894824595,0.866783959419461,M_vs_G,0.0620891342697016,Not significant
ZNF384,47.7463644371473,0.154033982874955,0.419672906694001,0.367033421548146,0.713594088329333,0.866783959419461,M_vs_G,0.0620891342697016,Not significant
RASSF5,51.2669317637077,-0.153793510642891,0.419101957964694,-0.366959656761725,0.713649111087597,0.866783959419461,M_vs_G,0.0620891342697016,Not significant
ANP32E,1897.31186707304,0.0839865753519774,0.228900878084768,0.366912421021273,0.713684346035844,0.866783959419461,M_vs_G,0.0620891342697016,Not significant
PPBP,21.0945300525604,0.304485704124181,0.829867871600585,0.36690865443063,0.71368715570638,0.866783959419461,M_vs_G,0.0620891342697016,Not significant
YIPF1,238.018005400726,0.0841190757866778,0.229376962987391,0.366728527098433,0.713821525373133,0.866882359176983,M_vs_G,0.0620398347346065,Not significant
